"Client","Country","Date Month","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Canela","Portugal","Apr-2024",311,4519.000000000004,14.530546623794212,673
"Canela","Puerto Rico","Apr-2024",19595,363849.03333330667,18.568463043293356,84858
"Canela","Qatar","Apr-2024",33,34.33333333333332,1.0404040404040404,36
"Canela","Romania","Apr-2024",95,173119.10000000006,1822.3063157894737,1278
"Canela","Russia","Apr-2024",214,938.9666666666659,4.387694704049844,408
"Canela","Rwanda","Apr-2024",7,3.2500000000000004,0.4642857142857143,10
"Canela","Réunion","Apr-2024",5,4.566666666666666,0.9133333333333333,8
"Canela","Saint Helena","Apr-2024",1,0.55,0.55,1
"Canela","Saint Lucia","Apr-2024",6,1.9833333333333334,0.33055555555555555,9
"Canela","Saint Vincent and the Grenadines","Apr-2024",3,1.3333333333333333,0.4444444444444444,4
"Canela","Saudi Arabia","Apr-2024",327,3728.0333333333447,11.400713557594292,828
"Canela","Senegal","Apr-2024",62,119.43333333333328,1.9263440860215055,82
"Canela","Serbia","Apr-2024",40,27.98333333333334,0.6995833333333333,69
"Canela","Seychelles","Apr-2024",2,0.7,0.35,2
"Canela","Sierra Leone","Apr-2024",22,233.01666666666662,10.591666666666667,77
"Canela","Singapore","Apr-2024",147,605.5833333333325,4.119614512471656,252
"Canela","Sint Maarten","Apr-2024",8,133.79999999999995,16.725,15
"Canela","Slovakia","Apr-2024",37,35.08333333333334,0.9481981981981983,94
"Canela","Slovenia","Apr-2024",8,3.5333333333333328,0.44166666666666665,22
"Canela","Somalia","Apr-2024",41,26.33333333333334,0.6422764227642276,44
"Canela","South Africa","Apr-2024",75,43.35000000000002,0.5780000000000001,92
"Canela","South Korea","Apr-2024",30,18.55,0.6183333333333334,38
"Canela","South Sudan","Apr-2024",9,13.65,1.5166666666666666,14
"Canela","Spain","Apr-2024",4206,45999.21666666655,10.93657077191314,9861
"Canela","Sri Lanka","Apr-2024",7,13.350000000000001,1.907142857142857,9
"Canela","Sudan","Apr-2024",14,2.7833333333333328,0.1988095238095238,17
"Canela","Suriname","Apr-2024",10,11.716666666666667,1.1716666666666666,32
"Canela","Swaziland","Apr-2024",1,0.03333333333333333,0.03333333333333333,2
"Canela","Sweden","Apr-2024",156,512.4666666666672,3.2850427350427354,389
"Canela","Switzerland","Apr-2024",89,226.63333333333347,2.546441947565543,153
"Canela","Syria","Apr-2024",70,167.8333333333333,2.3976190476190475,152
"Canela","São Tomé and Príncipe","Apr-2024",4,0.8833333333333333,0.22083333333333333,5
"Canela","Taiwan","Apr-2024",53,75.48333333333332,1.4242138364779875,86
"Canela","Tajikistan","Apr-2024",3,25.916666666666664,8.63888888888889,6
"Canela","Tanzania","Apr-2024",16,33.56666666666667,2.097916666666667,24
"Canela","Thailand","Apr-2024",29,36.50000000000001,1.2586206896551724,50
"Canela","Timor-Leste","Apr-2024",1,0.08333333333333333,0.08333333333333333,1
"Canela","Togo","Apr-2024",34,69.16666666666666,2.0343137254901964,52
"Canela","Trinidad and Tobago","Apr-2024",60,266.06666666666683,4.434444444444444,102
"Canela","Tunisia","Apr-2024",137,458.08333333333354,3.3436739659367394,237
"Canela","Turkey","Apr-2024",493,1173.6166666666625,2.3805611899932386,1240
