"Country","Date Month","Video Type","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Turkey","Nov-2024","Ad / Placeholder Slate",10,4.716666666666667,0.4716666666666667,10
"Turkey","Oct-2024","Ad / Placeholder Slate",15,5.249999999999999,0.35,16
"Turkey","Sep-2024","Ad / Placeholder Slate",5,0.9833333333333333,0.19666666666666666,5
"U.S. Virgin Islands","Aug-2024","Ad / Placeholder Slate",1,1,1,1
"U.S. Virgin Islands","Dec-2024","Ad / Placeholder Slate",1,5,5,1
"U.S. Virgin Islands","Oct-2024","Ad / Placeholder Slate",2,9,4.5,2
"Ukraine","Aug-2024","Ad / Placeholder Slate",4,1230.1333333333332,307.53333333333336,346
"Ukraine","Dec-2024","Ad / Placeholder Slate",3,657.1333333333333,219.04444444444445,122
"Ukraine","Jan-2025","Ad / Placeholder Slate",4,773.25,193.3125,159
"Ukraine","Nov-2024","Ad / Placeholder Slate",1,666,666,126
"Ukraine","Oct-2024","Ad / Placeholder Slate",5,730.2333333333332,146.04666666666668,183
"Ukraine","Sep-2024","Ad / Placeholder Slate",3,1424.2166666666667,474.7388888888889,459
"United Arab Emirates","Aug-2024","Ad / Placeholder Slate",4,0.06666666666666667,0.016666666666666666,4
"United Arab Emirates","Dec-2024","Ad / Placeholder Slate",1,1,1,1
"United Arab Emirates","Jan-2025","Ad / Placeholder Slate",24,121.78333333333333,5.074305555555555,41
"United Arab Emirates","Nov-2024","Ad / Placeholder Slate",6,0.09999999999999999,0.016666666666666666,6
"United Arab Emirates","Oct-2024","Ad / Placeholder Slate",2,0.7000000000000001,0.35,2
"United Arab Emirates","Sep-2024","Ad / Placeholder Slate",19,45.33333333333333,2.385964912280702,28
"United Kingdom","Aug-2024","Ad / Placeholder Slate",104,663.0999999999999,6.375961538461539,246
"United Kingdom","Dec-2024","Ad / Placeholder Slate",180,511.7166666666671,2.8428703703703704,481
"United Kingdom","Jan-2025","Ad / Placeholder Slate",111,291.18333333333305,2.623273273273273,257
"United Kingdom","Nov-2024","Ad / Placeholder Slate",91,197.28333333333384,2.167948717948718,173
"United Kingdom","Oct-2024","Ad / Placeholder Slate",59,114.48333333333329,1.9403954802259886,93
"United Kingdom","Sep-2024","Ad / Placeholder Slate",56,432.7166666666667,7.727083333333333,143
"United States","Aug-2024","Ad / Placeholder Slate",41200,260843.8499999914,6.331161407766991,89510
"United States","Dec-2024","Ad / Placeholder Slate",5737,380791.8499999726,66.37473418162803,121101
"United States","Jan-2025","Ad / Placeholder Slate",4071,318204.6333333144,78.16375173994925,107385
"United States","Nov-2024","Ad / Placeholder Slate",24419,432436.78333330416,17.709029171273734,144519
"United States","Oct-2024","Ad / Placeholder Slate",65436,515924.76666664117,7.884417853577032,170424
"United States","Sep-2024","Ad / Placeholder Slate",52046,372530.1833333206,7.157710166647453,121992
"Unknown","Aug-2024","Ad / Placeholder Slate",129,713.5333333333335,5.531266149870801,347
"Unknown","Dec-2024","Ad / Placeholder Slate",5,148.55,29.71,111
"Unknown","Jan-2025","Ad / Placeholder Slate",4,98.86666666666667,24.716666666666665,86
"Unknown","Nov-2024","Ad / Placeholder Slate",11,325.84999999999997,29.622727272727275,169
"Unknown","Oct-2024","Ad / Placeholder Slate",13,308.43333333333334,23.725641025641025,165
"Unknown","Sep-2024","Ad / Placeholder Slate",16,355.6666666666667,22.229166666666668,172
"Uruguay","Aug-2024","Ad / Placeholder Slate",153,444.2333333333334,2.9034858387799565,218
"Uruguay","Dec-2024","Ad / Placeholder Slate",71,138.08333333333337,1.9448356807511737,113
"Uruguay","Jan-2025","Ad / Placeholder Slate",39,71.8,1.841025641025641,59
"Uruguay","Nov-2024","Ad / Placeholder Slate",158,638.5333333333331,4.041350210970464,310
"Uruguay","Oct-2024","Ad / Placeholder Slate",199,569.9666666666666,2.8641541038525964,313
"Uruguay","Sep-2024","Ad / Placeholder Slate",215,405.8333333333332,1.8875968992248062,282
"Uzbekistan","Aug-2024","Ad / Placeholder Slate",1,0.55,0.55,1
"Uzbekistan","Dec-2024","Ad / Placeholder Slate",1,0.08333333333333333,0.08333333333333333,1
"Uzbekistan","Jan-2025","Ad / Placeholder Slate",1,0.08333333333333333,0.08333333333333333,1
"Uzbekistan","Oct-2024","Ad / Placeholder Slate",1,0.15,0.15,1
"Uzbekistan","Sep-2024","Ad / Placeholder Slate",1,0.1,0.1,1
"Venezuela","Aug-2024","Ad / Placeholder Slate",2769,6478.316666666651,2.339587095220898,3724
"Venezuela","Dec-2024","Ad / Placeholder Slate",399,1514.4499999999985,3.7956140350877194,770
"Venezuela","Jan-2025","Ad / Placeholder Slate",336,933.2333333333323,2.777480158730159,573
"Venezuela","Nov-2024","Ad / Placeholder Slate",2050,4815.916666666676,2.349227642276423,2880
"Venezuela","Oct-2024","Ad / Placeholder Slate",3446,7775.050000000005,2.2562536273940803,4768
"Venezuela","Sep-2024","Ad / Placeholder Slate",3269,7430.966666666672,2.273162027123483,4446
"Vietnam","Aug-2024","Ad / Placeholder Slate",1,1.2666666666666666,1.2666666666666666,1
"Vietnam","Dec-2024","Ad / Placeholder Slate",1,1,1,1
"Yemen","Dec-2024","Ad / Placeholder Slate",2,0.26666666666666666,0.13333333333333333,2
"Yemen","Nov-2024","Ad / Placeholder Slate",2,0.7000000000000001,0.35,2
"Yemen","Sep-2024","Ad / Placeholder Slate",1,0.25,0.25,1
"Afghanistan","Nov-2024","Bumper / Promo",1,0.1,0.1,1
"Afghanistan","Sep-2024","Bumper / Promo",1,0.11666666666666667,0.11666666666666667,1
"Albania","Dec-2024","Bumper / Promo",6,4.283333333333333,0.7138888888888889,8
"Albania","Jan-2025","Bumper / Promo",5,0.6666666666666667,0.13333333333333333,5
"Albania","Nov-2024","Bumper / Promo",4,5.400000000000001,1.35,5
"Albania","Oct-2024","Bumper / Promo",5,3.0333333333333337,0.6066666666666667,5
"Albania","Sep-2024","Bumper / Promo",6,4.716666666666667,0.7861111111111111,12
"Algeria","Aug-2024","Bumper / Promo",12,6.316666666666666,0.5263888888888889,14
"Algeria","Dec-2024","Bumper / Promo",22,9.383333333333336,0.4265151515151515,25
"Algeria","Jan-2025","Bumper / Promo",19,13.233333333333334,0.6964912280701754,24
"Algeria","Nov-2024","Bumper / Promo",18,10.666666666666668,0.5925925925925926,22
"Algeria","Oct-2024","Bumper / Promo",18,3.4833333333333334,0.19351851851851853,18
"Algeria","Sep-2024","Bumper / Promo",11,12.750000000000002,1.1590909090909092,17
