"Country","Date Month","Client","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Sudan","Jul-2024","Canela",8,0,0,0,19
"Sudan","Jun-2024","Canela",9,0,0,0,9
"Sudan","Mar-2024","Canela",2,0,0,0,3
"Sudan","May-2024","Canela",10,0.85,0.08499999999999999,1,18
"Sudan","Nov-2024","Canela",5,0,0,0,6
"Sudan","Oct-2024","Canela",13,0,0,1,27
"Sudan","Sep-2024","Canela",8,0,0,0,14
"Suriname","Apr-2024","Canela",21,6.033333333333333,0.2873015873015873,3,65
"Suriname","Aug-2024","Canela",19,6.033333333333333,0.3175438596491228,13,25
"Suriname","Dec-2024","Canela",2,0.7166666666666667,0.35833333333333334,1,4
"Suriname","Feb-2024","Canela",8,0,0,0,72
"Suriname","Jan-2024","Canela",11,0.7833333333333333,0.07121212121212121,2,87
"Suriname","Jan-2025","Canela",2,0,0,0,2
"Suriname","Jul-2024","Canela",21,0,0,0,28
"Suriname","Jun-2024","Canela",17,0.05,0.0029411764705882353,1,27
"Suriname","Mar-2024","Canela",4,0.31666666666666665,0.07916666666666666,16,84
"Suriname","May-2024","Canela",24,5.183333333333334,0.21597222222222223,9,45
"Suriname","Nov-2024","Canela",7,0,0,0,8
"Suriname","Oct-2024","Canela",16,0,0,1,32
"Suriname","Sep-2024","Canela",7,0.15,0.02142857142857143,1,10
"Swaziland","Apr-2024","Canela",3,0,0,0,5
"Swaziland","Feb-2024","Canela",2,0.9,0.45,3,3
"Swaziland","May-2024","Canela",2,0,0,0,2
"Sweden","Apr-2024","Canela",231,41.38333333333333,0.17914862914862914,29,595
"Sweden","Aug-2024","Canela",362,1.5833333333333333,0.004373848987108656,2,903
"Sweden","Dec-2024","Canela",20,0,0,0,33
"Sweden","Feb-2024","Canela",192,108.06666666666666,0.5628472222222222,75,384
"Sweden","Jan-2024","Canela",94,365.3666666666667,3.8868794326241134,15,124
"Sweden","Jan-2025","Canela",14,0,0,0,23
"Sweden","Jul-2024","Canela",361,138.56666666666666,0.38384118190212374,4,918
"Sweden","Jun-2024","Canela",373,121.31666666666666,0.3252457551385165,6,765
"Sweden","Mar-2024","Canela",103,7.216666666666667,0.07006472491909385,7,164
"Sweden","May-2024","Canela",285,21.333333333333332,0.07485380116959064,7,637
"Sweden","Nov-2024","Canela",107,111.3,1.0401869158878505,4,225
"Sweden","Oct-2024","Canela",306,33.3,0.1088235294117647,4,685
"Sweden","Sep-2024","Canela",181,17.7,0.09779005524861878,4,449
"Switzerland","Apr-2024","Canela",149,246.3,1.653020134228188,22,308
"Switzerland","Aug-2024","Canela",254,0.1,0.00039370078740157485,3,437
"Switzerland","Dec-2024","Canela",8,0,0,0,12
"Switzerland","Feb-2024","Canela",107,130.91666666666666,1.2235202492211836,12,178
"Switzerland","Jan-2024","Canela",139,5.9,0.04244604316546763,8,240
"Switzerland","Jan-2025","Canela",8,0,0,0,11
"Switzerland","Jul-2024","Canela",324,28.983333333333334,0.08945473251028807,2,453
"Switzerland","Jun-2024","Canela",205,26.216666666666665,0.1278861788617886,7,451
"Switzerland","Mar-2024","Canela",130,409.01666666666665,3.1462820512820513,23,242
"Switzerland","May-2024","Canela",199,425.1166666666667,2.1362646566164156,15,298
"Switzerland","Nov-2024","Canela",104,0,0,0,158
"Switzerland","Oct-2024","Canela",248,12.366666666666667,0.04986559139784946,3,388
"Switzerland","Sep-2024","Canela",185,150.4,0.812972972972973,2,272
"Syria","Apr-2024","Canela",40,23.533333333333335,0.5883333333333334,2,101
"Syria","Aug-2024","Canela",58,0,0,2,133
"Syria","Dec-2024","Canela",15,0,0,0,22
"Syria","Feb-2024","Canela",24,30.5,1.2708333333333333,18,46
"Syria","Jan-2024","Canela",30,2.3333333333333335,0.07777777777777778,12,50
"Syria","Jan-2025","Canela",30,0,0,0,43
"Syria","Jul-2024","Canela",58,120.63333333333334,2.0798850574712646,3,121
"Syria","Jun-2024","Canela",59,0,0,0,132
"Syria","Mar-2024","Canela",26,0.16666666666666666,0.00641025641025641,4,36
"Syria","May-2024","Canela",51,0,0,1,126
"Syria","Nov-2024","Canela",44,0,0,0,90
"Syria","Oct-2024","Canela",103,0,0,0,199
"Syria","Sep-2024","Canela",89,0,0,0,185
"São Tomé and Príncipe","Apr-2024","Canela",3,0,0,0,3
