"Country","Date Month","Video Type","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Australia","May-2024","Episode",2,46.766666666666666,23.383333333333333,2,2
"Australia","Nov-2024","Episode",4,100.8,25.2,11,11
"Australia","Oct-2024","Episode",13,771.6833333333333,59.360256410256405,44,44
"Australia","Sep-2024","Episode",6,290,48.333333333333336,13,13
"Austria","Feb-2024","Episode",1,1.4333333333333333,1.4333333333333333,1,1
"Austria","Jan-2024","Episode",1,0,0,1,1
"Austria","Jul-2024","Episode",1,40.78333333333333,40.78333333333333,2,2
"Austria","Jun-2024","Episode",1,152.61666666666667,152.61666666666667,6,6
"Austria","Nov-2024","Episode",2,117.18333333333334,58.59166666666667,6,6
"Austria","Oct-2024","Episode",2,68.03333333333333,34.016666666666666,4,4
"Azerbaijan","Apr-2024","Episode",1,0.03333333333333333,0.03333333333333333,1,1
"Bangladesh","Jun-2024","Episode",1,1.9833333333333334,1.9833333333333334,2,2
"Bangladesh","Mar-2024","Episode",1,8.066666666666666,8.066666666666666,1,1
"Bangladesh","Sep-2024","Episode",1,7.683333333333334,7.683333333333334,2,2
"Belgium","Apr-2024","Episode",1,50.86666666666667,50.86666666666667,2,2
"Belgium","Nov-2024","Episode",1,32.3,32.3,2,2
"Belgium","Oct-2024","Episode",2,55.7,27.85,4,4
"Belgium","Sep-2024","Episode",1,11.5,11.5,3,3
"Belize","Apr-2024","Episode",101,34145.8,338.0772277227723,2132,1847
"Belize","Aug-2024","Episode",136,29005.366666666665,213.27475490196076,1943,1766
"Belize","Dec-2024","Episode",20,11042,552.1,618,572
"Belize","Feb-2024","Episode",132,67761.73333333334,513.3464646464647,3481,3268
"Belize","Jan-2024","Episode",138,78817.08333333333,571.1382850241546,3879,3563
"Belize","Jan-2025","Episode",16,10294.6,643.4125,644,602
"Belize","Jul-2024","Episode",137,44339.01666666667,323.6424574209246,2450,2278
"Belize","Jun-2024","Episode",129,61165.28333333333,474.14948320413436,3410,3132
"Belize","Mar-2024","Episode",108,46522.066666666666,430.7598765432099,2827,2679
"Belize","May-2024","Episode",119,36136.9,303.6714285714286,1978,1853
"Belize","Nov-2024","Episode",118,53345.01666666667,452.07641242937854,3189,2869
"Belize","Oct-2024","Episode",181,80185.71666666666,443.0150092081031,3779,3495
"Belize","Sep-2024","Episode",151,64897.1,429.782119205298,3220,3040
"Bolivia","Apr-2024","Episode",4344,1388787.4166666667,319.7024439840393,52117,48427
"Bolivia","Aug-2024","Episode",4818,1517765.25,315.0197696139477,64795,59988
"Bolivia","Dec-2024","Episode",627,189198.21666666667,301.7515417331207,9628,8673
"Bolivia","Feb-2024","Episode",2722,777453.3833333333,285.6184361988734,35971,32814
"Bolivia","Jan-2024","Episode",3300,913980.2,276.96369696969697,44590,40417
"Bolivia","Jan-2025","Episode",552,182609.41666666666,330.8141606280193,8688,7569
"Bolivia","Jul-2024","Episode",5877,1592224.2,270.92465543644715,69961,64504
"Bolivia","Jun-2024","Episode",5236,1367307.95,261.13597211611915,53513,49617
"Bolivia","Mar-2024","Episode",3374,938485.2666666667,278.152124086149,41509,37857
"Bolivia","May-2024","Episode",4602,1360374.8333333333,295.6051354483558,50481,47282
"Bolivia","Nov-2024","Episode",2990,748774.1166666667,250.4261259754738,36323,33382
"Bolivia","Oct-2024","Episode",5628,1499113.45,266.36699538024163,66643,61692
"Bolivia","Sep-2024","Episode",4840,1397004.7833333334,288.6373519283747,57374,53457
"Brazil","Apr-2024","Episode",944,148833.61666666667,157.66272951977402,6484,6300
