"Client","Country","Date Month","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Canela","Georgia","Mar-2023",1,35.333333333333336,35.333333333333336,2,1
"Canela","Germany","Mar-2023",3,23.066666666666666,7.688888888888889,5,5
"Canela","Guatemala","Mar-2023",1448,112784.86666666667,77.89010128913444,9135,1681
"Canela","Haiti","Mar-2023",48,28.816666666666666,0.6003472222222223,59,43
"Canela","Honduras","Mar-2023",1027,124931.68333333333,121.64720869847453,11664,2616
"Canela","Indonesia","Mar-2023",1,1.6666666666666667,1.6666666666666667,1,1
"Canela","Iran","Mar-2023",1,0,0,5,5
"Canela","Martinique","Mar-2023",1,138.51666666666668,138.51666666666668,8,6
"Canela","Mexico","Mar-2023",176427,14003573.183333334,79.3731865492999,1406607,208457
"Canela","Nicaragua","Mar-2023",487,50593.5,103.88809034907598,4354,638
"Canela","Pakistan","Mar-2023",2,2.783333333333333,1.3916666666666666,2,1
"Canela","Palestinian Territories","Mar-2023",4,11.266666666666667,2.816666666666667,9,5
"Canela","Panama","Mar-2023",473,37278.46666666667,78.81282593375617,2998,804
"Canela","Paraguay","Mar-2023",289,29660.033333333333,102.62987312572088,2574,453
"Canela","Peru","Mar-2023",3471,341175.9,98.2932584269663,24260,4926
"Canela","Poland","Mar-2023",1,0.43333333333333335,0.43333333333333335,1,1
"Canela","Puerto Rico","Mar-2023",2745,379157.95,138.12675774134792,33857,10757
"Canela","Russia","Mar-2023",4,58.81666666666667,14.704166666666667,8,5
"Canela","Somalia","Mar-2023",1,0,0,1,1
"Canela","Spain","Mar-2023",10,575.3833333333333,57.538333333333334,29,29
"Canela","Trinidad and Tobago","Mar-2023",1,0.18333333333333332,0.18333333333333332,1,1
"Canela","U.S. Virgin Islands","Mar-2023",22,1039.4333333333334,47.2469696969697,125,44
"Canela","United Kingdom","Mar-2023",3,78,26,6,6
"Canela","United States","Mar-2023",120262,8664147.1,72.04392991967538,830534,134480
"Canela","Uruguay","Mar-2023",485,73697.26666666666,151.9531271477663,4699,1456
"Canela","Venezuela","Mar-2023",6968,779649.1666666666,111.88994929200153,70659,13980
"Canela","Andorra","Mar-2024",1,25.133333333333333,25.133333333333333,2,2
"Canela","Argentina","Mar-2024",7166,2186210.1166666667,305.0809540422365,107599,32439
"Canela","Bangladesh","Mar-2024",1,8.066666666666666,8.066666666666666,1,1
"Canela","Belize","Mar-2024",108,46522.066666666666,430.7598765432099,2827,1172
"Canela","Bolivia","Mar-2024",3312,925685.9666666667,279.49455515297905,40047,13808
"Canela","Brazil","Mar-2024",938,161829.25,172.52585287846483,6122,3871
"Canela","Canada","Mar-2024",52,1992.6166666666666,38.31955128205128,282,85
"Canela","Chile","Mar-2024",7389,1503395.4666666666,203.46399603013487,74601,26472
"Canela","Colombia","Mar-2024",84058,17412906.783333335,207.15347478328457,1089488,291061
"Canela","Costa Rica","Mar-2024",1938,423342.6,218.44303405572754,22997,4787
"Canela","Croatia","Mar-2024",2,1730.0333333333333,865.0166666666667,56,43
"Canela","Cuba","Mar-2024",887,12212.85,13.768714768883878,4165,1065
"Canela","Cyprus","Mar-2024",1,3.05,3.05,11,11
"Canela","Dominican Republic","Mar-2024",5740,1489213.4333333333,259.4448490127758,86611,33808
"Canela","Ecuador","Mar-2024",9965,3142977.6,315.40166583040644,149275,48541
"Canela","El Salvador","Mar-2024",2110,518718.36666666664,245.8380884676145,32601,7375
"Canela","Equatorial Guinea","Mar-2024",2,485.6333333333333,242.81666666666666,11,5
"Canela","France","Mar-2024",1,159.93333333333334,159.93333333333334,4,4
"Canela","French Guiana","Mar-2024",1,16.766666666666666,16.766666666666666,8,3
"Canela","Germany","Mar-2024",5,70.21666666666667,14.043333333333333,6,6
"Canela","Guatemala","Mar-2024",2410,461551.01666666666,191.51494467496542,28676,7706
"Canela","Honduras","Mar-2024",1741,370857.85,213.01427340608845,24558,7879
"Canela","Hong Kong","Mar-2024",2,100.16666666666667,50.083333333333336,4,4
"Canela","India","Mar-2024",3,0.4166666666666667,0.1388888888888889,3,3
"Canela","Indonesia","Mar-2024",1,36.78333333333333,36.78333333333333,1,1
"Canela","Iran","Mar-2024",5,54.983333333333334,10.996666666666666,7,7
"Canela","Italy","Mar-2024",1,10.483333333333333,10.483333333333333,2,2
"Canela","Japan","Mar-2024",2,3.15,1.575,3,3
"Canela","Mexico","Mar-2024",152368,19684456.5,129.1902269505408,1745371,271864
"Canela","Netherlands","Mar-2024",5,158.61666666666667,31.723333333333336,11,11
"Canela","Nicaragua","Mar-2024",991,172692.13333333333,174.26047763202152,13005,2892
"Canela","Pakistan","Mar-2024",1,133.5,133.5,9,1
"Canela","Panama","Mar-2024",1345,342312.1,254.50713754646839,14564,7378
"Canela","Paraguay","Mar-2024",709,168636.31666666668,237.8509402914904,8449,3541
"Canela","Peru","Mar-2024",13084,3520377.35,269.0597179761541,136307,57372
"Canela","Puerto Rico","Mar-2024",5947,1203371.6833333333,202.3493666274312,100233,39095
"Canela","Russia","Mar-2024",2,16.066666666666666,8.033333333333333,3,2
"Canela","Singapore","Mar-2024",2,21.8,10.9,2,2
"Canela","South Korea","Mar-2024",1,0,0,2,2
"Canela","Spain","Mar-2024",19,2273.8333333333335,119.67543859649123,114,80
"Canela","Switzerland","Mar-2024",2,267.73333333333335,133.86666666666667,6,5
"Canela","Trinidad and Tobago","Mar-2024",2,90.55,45.275,2,2
"Canela","Turkey","Mar-2024",2,191.63333333333333,95.81666666666666,5,5
"Canela","U.S. Virgin Islands","Mar-2024",37,19184.283333333333,518.4941441441441,1019,491
"Canela","United Arab Emirates","Mar-2024",1,46.7,46.7,1,1
"Canela","United Kingdom","Mar-2024",1,3.1166666666666667,3.1166666666666667,1,1
"Canela","United States","Mar-2024",103820,15179850.933333334,146.213166377705,1429302,258753
"Canela","Uruguay","Mar-2024",834,195858.08333333334,234.841826538769,8602,3258
"Canela","Venezuela","Mar-2024",11783,3294939.4833333334,279.63502362160176,207070,49424
"Canela","Algeria","May-2023",1,0.6833333333333333,0.6833333333333333,2,2
"Canela","Angola","May-2023",2,1.6,0.8,3,2
"Canela","Argentina","May-2023",3689,703698.9333333333,190.75601337309118,50172,10405
"Canela","Australia","May-2023",3,200.75,66.91666666666667,15,15
"Canela","Belize","May-2023",109,20008.133333333335,183.56085626911317,1436,613
"Canela","Bolivia","May-2023",1710,171841.9,100.49233918128655,12578,2501
"Canela","Bosnia and Herzegovina","May-2023",1,55.983333333333334,55.983333333333334,1,1
"Canela","Brazil","May-2023",537,34782.03333333333,64.77101179391683,2865,1544
"Canela","Bulgaria","May-2023",1,20.266666666666666,20.266666666666666,2,1
"Canela","Canada","May-2023",64,1463.0666666666666,22.860416666666666,167,71
"Canela","Chile","May-2023",4384,827173.3166666667,188.68004486009733,60222,13092
"Canela","China","May-2023",1,51.65,51.65,1,1
"Canela","Colombia","May-2023",86967,12653964.016666668,145.5030530737713,1017715,243000
